City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,tahe,52.3333,124.7333,-13.27,96,100,1.68,CN,1707676567
318,usinsk,65.9939,57.5281,-31.63,100,58,1.34,RU,1707676182
319,casilda,-33.0442,-61.1681,36.92,43,100,2.94,AR,1707676568
320,gargalianoi,37.0667,21.6333,14.64,80,100,9.31,GR,1707676569
321,suva,-18.1416,178.4415,26.71,94,75,1.54,FJ,1707676461
322,newman,37.3138,-121.0208,12.91,77,30,0.89,US,1707675984
323,paracuru,-3.41,-39.0306,28.95,68,98,6.07,BR,1707676571
324,tupi paulista,-21.3811,-51.5706,37.94,24,7,5.4,BR,1707676571
325,sinabang,2.4803,96.3801,26.5,84,5,0.6,ID,1707676572
326,ust-tsilma,65.441,52.1498,-32.5,100,93,1.24,RU,1707676572
327,yuzhno-kurilsk,44.0306,145.8556,-7.57,81,83,2.06,RU,1707676005
328,san sebastian de la gomera,28.0916,-17.1133,22.43,78,20,2.57,ES,1707676573
329,manismata,-2.4667,111.0333,23.43,99,100,0.73,ID,1707676574
330,lamu,-2.2717,40.902,27.02,82,100,6.01,KE,1707676574
331,kuusamo,65.9667,29.1833,-24.98,77,0,1.03,FI,1707676575
332,malango,-2.9627,119.9001,22.58,99,100,1.11,ID,1707676575
333,arraial do cabo,-22.9661,-42.0278,31.98,55,0,10.29,BR,1707675977
334,oamaru,-45.0784,170.9801,7.43,85,100,0.78,NZ,1707676576
335,camiri,-20.05,-63.5167,32.88,35,75,2.06,BO,1707676577
336,kone,-21.0595,164.8658,23.53,92,2,1.07,NC,1707676577
337,clorinda,-25.2848,-57.7185,39.43,41,100,5.15,AR,1707676578
338,mankono,8.0586,-6.1897,31.81,30,1,0.33,CI,1707676578
339,jiuquan,39.7432,98.5174,-1.06,26,4,0.67,CN,1707676074
340,darwin,-12.4611,130.8418,24.99,96,75,0.45,AU,1707676411
341,ribeira grande,38.5167,-28.7,18.22,88,40,10.29,PT,1707676017
342,port hueneme,34.1478,-119.1951,18.82,33,0,8.75,US,1707676580
343,pionerskiy,54.9508,20.2275,2.91,97,100,7.77,RU,1707676581
344,alvorada,-12.48,-49.1247,21.06,98,100,3.24,BR,1707676515
345,kayes,14.0,-11.0,33.7,6,0,2.94,ML,1707676581
346,redencao,-4.2258,-38.7306,32.08,54,89,3.69,BR,1707676167
347,horta,38.5333,-28.6333,17.8,88,40,10.29,PT,1707676582
348,danjiangkou,32.5428,111.5086,7.76,81,5,1.46,CN,1707676583
349,konya,38.1667,32.5,6.71,69,100,1.3,TR,1707676583
350,tipasa,36.5897,2.4475,13.15,73,99,3.21,DZ,1707676584
351,piacabucu,-10.4056,-36.4344,27.87,76,100,4.61,BR,1707676584
352,magdagachi,53.45,125.8,-12.34,96,100,2.49,RU,1707676585
353,ust'-kulom,61.6864,53.6902,-22.52,100,100,0.97,RU,1707676524
354,argo,37.6333,22.7333,15.44,75,88,5.63,GR,1707676128
355,ishpeming,46.4885,-87.6676,0.41,72,100,3.75,US,1707676586
356,lorengau,-2.0226,147.2712,27.25,80,100,3.75,PG,1707676587
357,tucurui,-3.7661,-49.6725,27.72,78,58,2.05,BR,1707676587
358,soe,-9.8607,124.284,19.6,96,100,1.19,ID,1707676588
